System,Package,Class,Name, COMP, NOS, HLTH, HVOC, HEFF, HBUG, CREF, XMET, LMET, NLOC, NOA, MOD, HDIF, LOOP, EXCR, MDN, VDEC, NOPR, EXCT, VREF, CAST, TDN, HVOL, NAND
"No System Name","com.lambdaworks.jni.test","JarLibraryLoaderTest","loadUnsupportedPlatform",1,4,30,23,579.02,0.05,2,1,3,5,0,2,4.27,0,0,0,1,14,1,1,0,0,135.71,16
"No System Name","com.lambdaworks.jni.test","JarLibraryLoaderTest","loadVerifyBadSig",1,3,25,20,468.21,0.04,2,1,2,4,0,2,4.33,0,0,0,1,12,1,1,0,0,108.05,13
"No System Name","com.lambdaworks.jni.test","JarLibraryLoaderTest","loadWrongPlatform",1,5,45,31,1273.94,0.07,3,2,4,6,0,2,5.71,0,0,0,2,21,1,2,0,0,222.94,24
"No System Name","com.lambdaworks.jni","LibraryLoaders","loader",5,9,89,36,5587.21,0.15,7,7,0,11,0,2,12.14,0,0,1,2,55,0,6,0,1,460.12,34
"No System Name","com.lambdaworks.jni.test","LibraryLoadersTest","loader",1,3,20,15,341.85,0.03,3,1,1,4,1,1,4.38,0,0,0,0,10,0,1,0,0,78.14,10
"No System Name","com.lambdaworks.jni.test","LibraryLoadersTest","loaderForName",1,3,18,14,231.30,0.02,3,1,1,4,1,1,3.38,0,0,0,0,9,0,1,0,0,68.53,9
"No System Name","com.lambdaworks.crypto","SCryptUtil","log2",5,15,82,27,8529.08,0.13,0,0,0,8,1,2,21.88,0,0,1,1,47,0,14,0,4,389.90,35
"No System Name","com.lambdaworks.jni.test","PlatformTest","os",1,5,61,22,2031.12,0.09,2,0,2,6,0,2,7.47,0,0,0,0,29,1,12,0,0,272.03,32
"No System Name","com.lambdaworks.jni.test","LibraryLoadersTest","overrideLoaderDetection",1,4,33,19,654.18,0.05,4,0,2,5,0,2,4.67,0,0,0,0,17,1,0,0,0,140.18,16
"No System Name","com.lambdaworks.crypto","PBKDF","pbkdf2",1,6,60,27,3334.36,0.10,4,3,1,7,5,2,11.69,0,0,0,2,26,1,11,0,0,285.29,34
"No System Name","com.lambdaworks.crypto","PBKDF","pbkdf2",5,33,294,66,84321.11,0.59,3,6,1,29,5,2,47.45,3,0,3,9,148,1,64,6,4,1777.05,146
"No System Name","com.lambdaworks.crypto.test","PBKDFTest","pbkdf2_hmac_sha1_rfc3962",1,41,293,49,35433.14,0.55,4,4,2,42,0,2,21.54,0,0,0,6,125,1,76,0,0,1645.11,168
