System,Package,Class,Name, COMP, NOS, HLTH, HVOC, HEFF, HBUG, CREF, XMET, LMET, NLOC, NOA, MOD, HDIF, LOOP, EXCR, MDN, VDEC, NOPR, EXCT, VREF, CAST, TDN, HVOL, NAND
"No System Name","org.apache.commons.codec.language","Caverphone2Test","testCaverphoneRevisitedRandomNameKLN1111111",1,2,101,99,3013.04,0.22,2,1,1,85,0,2,4.50,0,0,0,0,11,1,0,0,0,669.57,90
"No System Name","org.apache.commons.codec.language","Caverphone2Test","testCaverphoneRevisitedRandomNameTN11111111",1,2,88,86,2544.80,0.19,2,1,1,72,0,2,4.50,0,0,0,0,11,1,0,0,0,565.51,77
"No System Name","org.apache.commons.codec.language","Caverphone2Test","testCaverphoneRevisitedRandomNameTTA1111111",1,2,87,85,2509.28,0.19,2,1,1,71,0,2,4.50,0,0,0,0,11,1,0,0,0,557.62,76
"No System Name","org.apache.commons.codec.language","Caverphone2Test","testCaverphoneRevisitedRandomWords",1,4,41,26,1071.29,0.06,2,1,2,5,0,2,5.56,0,0,0,0,20,1,0,0,0,192.72,21
"No System Name","org.apache.commons.codec.binary","Base64Test","testChunkedEncodeMultipleOf76",1,5,55,32,1506.52,0.09,5,4,1,6,0,2,5.48,0,0,0,3,27,0,5,0,0,275.00,28
"No System Name","org.apache.commons.codec.binary","Base64Test","testCodeInteger1",1,5,49,26,1727.41,0.08,3,5,1,6,0,2,7.50,0,0,0,2,25,0,5,0,0,230.32,24
"No System Name","org.apache.commons.codec.binary","Base64Test","testCodeInteger2",1,5,49,26,1727.41,0.08,3,5,1,6,0,2,7.50,0,0,0,2,25,0,5,0,0,230.32,24
"No System Name","org.apache.commons.codec.binary","Base64Test","testCodeInteger3",1,5,53,28,1840.15,0.08,3,5,1,8,0,2,7.22,0,0,0,2,27,0,5,0,0,254.79,26
"No System Name","org.apache.commons.codec.binary","Base64Test","testCodeInteger4",1,5,63,33,2141.67,0.11,3,5,1,14,0,2,6.74,0,0,0,2,32,0,5,0,0,317.80,31
"No System Name","org.apache.commons.codec.binary","Base64Test","testCodeIntegerEdgeCases",1,1,7,7,39.30,0.01,0,0,0,2,0,2,2.00,0,0,0,0,4,0,0,0,0,19.65,3
"No System Name","org.apache.commons.codec.binary","Base64Test","testCodeIntegerNull",3,5,35,22,756.39,0.05,3,1,1,9,0,2,4.85,0,2,1,0,21,0,0,0,3,156.08,14
"No System Name","org.apache.commons.codec.binary","Base64InputStreamTest","testCodec101",1,10,94,39,6260.03,0.17,5,5,1,11,0,2,12.60,0,0,0,5,49,1,13,0,0,496.83,45
"No System Name","org.apache.commons.codec.binary","Base32InputStreamTest","testCodec105",2,9,51,30,2627.64,0.08,3,4,0,10,0,2,10.50,1,0,2,2,30,1,4,0,3,250.25,21
"No System Name","org.apache.commons.codec.binary","Base64InputStreamTest","testCodec105",2,9,51,30,2627.64,0.08,3,4,0,10,0,2,10.50,1,0,2,2,30,1,4,0,3,250.25,21
"No System Name","org.apache.commons.codec.binary","Base64Test","testCodec112",1,4,40,21,1517.35,0.06,1,1,0,5,0,2,8.64,0,0,0,2,21,0,4,0,0,175.69,19
"No System Name","org.apache.commons.codec.binary","Base32InputStreamTest","testCodec130",1,11,102,41,4708.75,0.18,8,12,1,12,0,2,8.62,0,0,0,6,55,1,11,0,0,546.47,47
"No System Name","org.apache.commons.codec.binary","Base64InputStreamTest","testCodec130",1,11,102,41,4708.75,0.18,8,12,1,12,0,2,8.62,0,0,0,6,55,1,11,0,0,546.47,47
"No System Name","org.apache.commons.codec.language","DoubleMetaphoneTest","testCodec184",1,7,81,20,4667.68,0.12,2,2,2,8,0,2,13.33,0,0,0,0,41,1,0,0,0,350.08,40
