System,Package,Class,Name, COMP, NOS, HLTH, HVOC, HEFF, HBUG, CREF, XMET, LMET, NLOC, NOA, MOD, HDIF, LOOP, EXCR, MDN, VDEC, NOPR, EXCT, VREF, CAST, TDN, HVOL, NAND
"No System Name","com.sk89q.worldguard.blacklist.event","BlockPlaceBlacklistEvent","BlockPlaceBlacklistEvent",1,2,18,14,228.44,0.02,3,0,0,3,3,1,3.33,0,0,0,0,6,0,3,0,0,68.53,12
"No System Name","com.sk89q.worldguard.bukkit.listener","BlockedPotionsListener","BlockedPotionsListener",1,2,10,8,75.00,0.01,1,0,0,3,1,1,2.50,0,0,0,0,5,0,1,0,0,30.00,5
"No System Name","com.sk89q.worldguard.bukkit.util","Blocks","Blocks",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","com.sk89q.worldguard.protection.flags","BooleanFlag","BooleanFlag",1,2,10,8,75.00,0.01,1,0,0,3,1,1,2.50,0,0,0,0,5,0,1,0,0,30.00,5
"No System Name","com.sk89q.worldguard.protection.flags","BooleanFlag","BooleanFlag",1,2,13,10,115.16,0.01,2,0,0,3,2,1,2.67,0,0,0,0,5,0,2,0,0,43.19,8
"No System Name","com.sk89q.worldguard.bukkit.event.block","BreakBlockEvent","BreakBlockEvent",1,2,21,16,286.36,0.03,4,0,0,3,4,1,3.41,0,0,0,0,6,0,4,0,0,84.00,15
"No System Name","com.sk89q.worldguard.bukkit.event.block","BreakBlockEvent","BreakBlockEvent",1,2,27,21,563.31,0.04,6,0,0,3,5,1,4.75,0,0,0,0,8,0,5,0,0,118.59,19
"No System Name","com.sk89q.worldguard.bukkit.event.block","BreakBlockEvent","BreakBlockEvent",1,2,18,14,228.44,0.02,3,0,0,3,3,1,3.33,0,0,0,0,6,0,3,0,0,68.53,12
"No System Name","com.sk89q.worldguard.util.net","HttpRequest$BufferedResponse","BufferedResponse",1,2,13,11,236.11,0.01,0,0,0,3,1,1,5.25,0,0,0,0,7,0,2,0,0,44.97,6
"No System Name","com.sk89q.worldguard.protection.flags","BuildFlag","BuildFlag",1,2,13,10,115.16,0.01,1,0,0,3,2,1,2.67,0,0,0,0,5,0,2,0,0,43.19,8
"No System Name","com.sk89q.worldguard.bukkit.listener","BuildPermissionListener","BuildPermissionListener",1,2,10,8,75.00,0.01,1,0,0,3,1,1,2.50,0,0,0,0,5,0,1,0,0,30.00,5
"No System Name","com.sk89q.worldguard.util.command","CommandFilter$Builder","Builder",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
