System,Package,Class,Name, COMP, NOS, HLTH, HVOC, HEFF, HBUG, CREF, XMET, LMET, NLOC, NOA, MOD, HDIF, LOOP, EXCR, MDN, VDEC, NOPR, EXCT, VREF, CAST, TDN, HVOL, NAND
"No System Name","org.roaringbitmap.serialization","ByteBufferBackedInputStream","ByteBufferBackedInputStream",1,2,11,9,130.76,0.01,1,0,0,3,1,0,3.75,0,0,0,0,5,0,2,0,0,34.87,6
"No System Name","JHawkDefaultPackage","ByteBufferBackedInputStream","ByteBufferBackedInputStream",1,2,11,9,130.76,0.01,1,0,0,3,1,0,3.75,0,0,0,0,5,0,2,0,0,34.87,6
"No System Name","JHawkDefaultPackage","ByteBufferBackedOutputStream","ByteBufferBackedOutputStream",1,2,11,9,130.76,0.01,1,0,0,3,1,0,3.75,0,0,0,0,5,0,2,0,0,34.87,6
"No System Name","org.roaringbitmap","ByteBufferBackedOutputStream","ByteBufferBackedOutputStream",1,2,11,9,130.76,0.01,1,0,0,3,1,0,3.75,0,0,0,0,5,0,2,0,0,34.87,6
"No System Name","org.roaringbitmap.serialization","ByteBufferBackedOutputStream","ByteBufferBackedOutputStream",1,2,11,9,130.76,0.01,1,0,0,3,1,0,3.75,0,0,0,0,5,0,2,0,0,34.87,6
"No System Name","org.roaringbitmap","TestRoaringBitmap","ContainerFactory",7,40,257,37,37915.65,0.45,3,7,1,29,0,2,28.32,6,0,0,13,139,0,42,6,0,1338.83,118
"No System Name","org.roaringbitmap.buffer","TestRoaringBitmap","ContainerFactory",7,40,257,37,37915.65,0.45,3,7,1,29,0,2,28.32,6,0,0,13,139,0,42,6,0,1338.83,118
"No System Name","org.roaringbitmap","RoaringArray$Element","Element",1,3,20,12,394.35,0.02,1,0,0,4,2,1,5.50,0,0,0,0,9,0,4,0,0,71.70,11
"No System Name","org.roaringbitmap.buffer","MutableRoaringArray$Element","Element",1,3,20,12,394.35,0.02,1,0,0,4,2,1,5.50,0,0,0,0,9,0,4,0,0,71.70,11
"No System Name","org.roaringbitmap","FastAggregation","FastAggregation",1,1,4,4,12.00,0.00,0,0,0,1,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","org.roaringbitmap.buffer","ImmutableRoaringArray","ImmutableRoaringArray",2,6,56,27,2196.76,0.09,3,5,1,8,1,1,8.25,0,0,0,0,32,0,10,0,0,266.27,24
"No System Name","org.roaringbitmap.buffer","ImmutableRoaringBitmap","ImmutableRoaringBitmap",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","org.roaringbitmap.buffer","ImmutableRoaringBitmap","ImmutableRoaringBitmap",1,2,14,12,210.80,0.02,2,1,0,3,1,1,4.20,0,0,0,0,8,0,2,0,0,50.19,6
"No System Name","org.roaringbitmap.buffer","ImmutableRoaringBitmap$ImmutableRoaringIntIterator","ImmutableRoaringIntIterator",1,2,7,6,36.19,0.01,0,0,1,3,0,1,2.00,0,0,0,0,5,0,0,0,0,18.09,2
"No System Name","org.roaringbitmap.buffer","ImmutableRoaringBitmap$ImmutableRoaringReverseIntIterator","ImmutableRoaringReverseIntIterator",1,2,7,6,36.19,0.01,0,0,1,3,0,1,2.00,0,0,0,0,5,0,0,0,0,18.09,2
"No System Name","org.roaringbitmap","BasicBenchmark$ImmutableState","ImmutableState",5,21,123,43,13737.95,0.22,5,7,1,18,0,1,20.58,3,1,2,3,71,0,27,0,5,667.43,52
"No System Name","org.roaringbitmap","IntIteratorFlyweight","IntIteratorFlyweight",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","org.roaringbitmap","IntIteratorFlyweight","IntIteratorFlyweight",1,1,6,6,23.26,0.01,1,0,0,2,1,1,1.50,0,0,0,0,3,0,0,0,0,15.51,3
"No System Name","org.roaringbitmap.buffer","MappeableArrayContainer","MappeableArrayContainer",1,2,8,7,44.92,0.01,0,0,1,3,0,1,2.00,0,0,0,0,5,0,1,0,0,22.46,3
"No System Name","org.roaringbitmap.buffer","MappeableArrayContainer","MappeableArrayContainer",1,2,15,13,226.65,0.02,1,1,0,3,1,1,4.08,0,0,0,0,8,0,2,0,0,55.51,7
"No System Name","org.roaringbitmap.buffer","MappeableArrayContainer","MappeableArrayContainer",2,9,63,27,4172.41,0.10,1,2,0,8,2,1,13.93,1,0,0,3,33,0,14,1,0,299.56,30
"No System Name","org.roaringbitmap.buffer","MappeableArrayContainer","MappeableArrayContainer",1,5,45,20,958.54,0.06,2,5,0,6,2,1,4.93,0,0,0,0,22,0,8,0,0,194.49,23
"No System Name","org.roaringbitmap.buffer","MappeableArrayContainer","MappeableArrayContainer",2,4,36,21,1391.49,0.05,2,2,0,8,2,1,8.80,0,0,0,0,20,0,6,0,0,158.12,16
"No System Name","org.roaringbitmap.buffer","MappeableArrayContainerShortIterator","MappeableArrayContainerShortIterator",1,1,3,3,4.75,0.00,0,0,0,2,0,0,1.00,0,0,0,0,2,0,0,0,0,4.75,1
"No System Name","org.roaringbitmap.buffer","MappeableArrayContainerShortIterator","MappeableArrayContainerShortIterator",1,2,9,7,47.37,0.01,1,0,1,3,1,0,1.88,0,0,0,0,4,0,1,0,0,25.27,5
"No System Name","org.roaringbitmap.buffer","MappeableBitmapContainer","MappeableBitmapContainer",1,3,22,16,342.22,0.03,1,1,0,4,0,1,3.89,0,0,0,0,12,0,3,0,0,88.00,10
"No System Name","org.roaringbitmap.buffer","MappeableBitmapContainer","MappeableBitmapContainer",4,20,185,44,29717.16,0.34,1,4,0,20,2,1,29.42,2,0,1,8,100,0,35,0,2,1009.99,85
"No System Name","org.roaringbitmap.buffer","MappeableBitmapContainer","MappeableBitmapContainer",1,5,39,17,664.21,0.05,1,4,0,6,2,0,4.17,0,0,0,0,19,0,7,0,0,159.41,20
"No System Name","org.roaringbitmap.buffer","MappeableBitmapContainer","MappeableBitmapContainer",2,4,49,27,2379.82,0.08,2,2,0,9,2,1,10.21,0,0,0,0,27,0,8,0,0,232.99,22
"No System Name","org.roaringbitmap.buffer","MappeableBitmapContainerShortIterator","MappeableBitmapContainerShortIterator",1,1,3,3,4.75,0.00,0,0,0,2,0,0,1.00,0,0,0,0,2,0,0,0,0,4.75,1
"No System Name","org.roaringbitmap.buffer","MappeableBitmapContainerShortIterator","MappeableBitmapContainerShortIterator",1,2,9,7,47.37,0.01,1,0,1,3,1,0,1.88,0,0,0,0,4,0,1,0,0,25.27,5
"No System Name","org.roaringbitmap.buffer","TestImmutableRoaringBitmap","MappeableContainersAccessTest",14,96,960,76,309733.32,2.00,9,12,1,71,0,2,51.64,13,0,0,20,540,1,98,13,0,5998.01,420
"No System Name","org.roaringbitmap.buffer","MutableRoaringArray","MutableRoaringArray",1,2,13,13,192.42,0.02,1,1,0,3,0,1,4.00,0,0,0,0,8,0,2,0,0,48.11,5
"No System Name","org.roaringbitmap.buffer","MutableRoaringArray","MutableRoaringArray",6,31,282,66,50112.86,0.57,10,15,0,34,1,1,29.40,2,0,2,8,156,0,59,0,4,1704.52,126
"No System Name","org.roaringbitmap.buffer","MutableRoaringBitmap","MutableRoaringBitmap",1,2,10,9,95.10,0.01,1,1,0,3,0,1,3.00,0,0,0,0,7,0,1,0,0,31.70,3
"No System Name","org.roaringbitmap","BasicBenchmark$MutableState","MutableState",4,18,100,34,9722.71,0.17,3,6,0,13,0,1,19.11,3,0,2,3,57,0,22,0,3,508.75,43
"No System Name","org.roaringbitmap","TestRoaringBitmap","ORtest",14,64,363,47,72709.57,0.67,2,5,0,39,0,2,36.06,13,0,1,16,193,0,58,0,6,2016.32,170
"No System Name","org.roaringbitmap.buffer","TestRoaringBitmap","ORtest",14,64,363,47,72709.57,0.67,2,5,0,39,0,2,36.06,13,0,1,16,193,0,58,0,6,2016.32,170
"No System Name","org.roaringbitmap","ReverseArrayContainerShortIterator","ReverseArrayContainerShortIterator",1,1,3,3,4.75,0.00,0,0,0,2,0,0,1.00,0,0,0,0,2,0,0,0,0,4.75,1
"No System Name","org.roaringbitmap","ReverseArrayContainerShortIterator","ReverseArrayContainerShortIterator",1,2,9,7,47.37,0.01,1,0,1,3,1,0,1.88,0,0,0,0,4,0,1,0,0,25.27,5
"No System Name","org.roaringbitmap","ReverseBitmapContainerShortIterator","ReverseBitmapContainerShortIterator",1,1,3,3,4.75,0.00,0,0,0,2,0,0,1.00,0,0,0,0,2,0,0,0,0,4.75,1
"No System Name","org.roaringbitmap","ReverseBitmapContainerShortIterator","ReverseBitmapContainerShortIterator",1,2,9,7,47.37,0.01,1,0,1,3,1,0,1.88,0,0,0,0,4,0,1,0,0,25.27,5
"No System Name","org.roaringbitmap","ReverseIntIteratorFlyweight","ReverseIntIteratorFlyweight",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","org.roaringbitmap","ReverseIntIteratorFlyweight","ReverseIntIteratorFlyweight",1,1,6,6,23.26,0.01,1,0,0,2,1,1,1.50,0,0,0,0,3,0,0,0,0,15.51,3
"No System Name","org.roaringbitmap.buffer","ReverseMappeableArrayContainerShortIterator","ReverseMappeableArrayContainerShortIterator",1,1,3,3,4.75,0.00,0,0,0,2,0,0,1.00,0,0,0,0,2,0,0,0,0,4.75,1
"No System Name","org.roaringbitmap.buffer","ReverseMappeableArrayContainerShortIterator","ReverseMappeableArrayContainerShortIterator",1,2,9,7,47.37,0.01,1,0,1,3,1,0,1.88,0,0,0,0,4,0,1,0,0,25.27,5
"No System Name","org.roaringbitmap.buffer","ReverseMappeableBitmapContainerShortIterator","ReverseMappeableBitmapContainerShortIterator",1,1,3,3,4.75,0.00,0,0,0,2,0,0,1.00,0,0,0,0,2,0,0,0,0,4.75,1
"No System Name","org.roaringbitmap.buffer","ReverseMappeableBitmapContainerShortIterator","ReverseMappeableBitmapContainerShortIterator",1,2,9,7,47.37,0.01,1,0,1,3,1,0,1.88,0,0,0,0,4,0,1,0,0,25.27,5
"No System Name","org.roaringbitmap","RoaringArray","RoaringArray",1,2,13,13,192.42,0.02,1,1,0,3,0,1,4.00,0,0,0,0,8,0,2,0,0,48.11,5
"No System Name","org.roaringbitmap","RoaringBitmap","RoaringBitmap",1,2,10,9,95.10,0.01,1,1,0,3,0,1,3.00,0,0,0,0,7,0,1,0,0,31.70,3
"No System Name","org.roaringbitmap","RoaringBitmap$RoaringIntIterator","RoaringIntIterator",1,2,7,6,36.19,0.01,0,0,1,3,0,1,2.00,0,0,0,0,5,0,0,0,0,18.09,2
"No System Name","org.roaringbitmap","RoaringBitmap$RoaringReverseIntIterator","RoaringReverseIntIterator",1,2,7,6,36.19,0.01,0,0,1,3,0,1,2.00,0,0,0,0,5,0,0,0,0,18.09,2
"No System Name","org.roaringbitmap.buffer","TestCompressionRates","SimpleCompressionRateTest",4,15,87,37,7897.40,0.15,1,3,1,12,0,2,17.42,2,0,2,5,46,0,15,0,2,453.22,41
"No System Name","org.roaringbitmap","BasicBenchmark$StandardState","StandardState",4,18,100,34,9722.71,0.17,3,6,0,13,0,1,19.11,3,0,2,3,57,0,22,0,3,508.75,43
"No System Name","org.roaringbitmap","Util","Util",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","org.roaringbitmap.buffer","TestMemoryMapping","XORs",2,9,115,38,9257.87,0.20,4,7,0,13,0,2,15.34,1,0,1,3,56,0,22,0,1,603.51,59
"No System Name","org.roaringbitmap","TestRoaringBitmap","XORtest",14,64,363,47,72709.57,0.67,2,5,0,39,0,2,36.06,13,0,1,16,193,0,58,0,6,2016.32,170
"No System Name","org.roaringbitmap.buffer","TestRoaringBitmap","XORtest",14,64,363,47,72709.57,0.67,2,5,0,39,0,2,36.06,13,0,1,16,193,0,58,0,6,2016.32,170
"No System Name","org.roaringbitmap","BitmapDataProvider","add",1,1,31,16,595.20,0.04,0,0,0,1,1,1,4.80,0,0,0,0,15,0,0,0,0,124.00,16
"No System Name","org.roaringbitmap","RoaringBitmap","add",2,7,82,31,5003.22,0.14,2,9,0,12,1,1,12.32,0,0,1,3,43,0,14,0,2,406.24,39
"No System Name","org.roaringbitmap.buffer","MutableRoaringBitmap","add",2,7,84,32,4914.00,0.14,2,7,1,14,1,1,11.70,0,0,1,3,45,0,14,0,2,420.00,39
"No System Name","org.roaringbitmap","ArrayContainer","add",5,20,174,46,27494.32,0.32,5,4,1,27,2,2,28.61,1,0,1,7,85,0,47,3,2,961.10,89
"No System Name","org.roaringbitmap","BitmapContainer","add",1,5,35,21,898.74,0.05,3,2,1,6,2,2,5.85,0,0,0,1,16,0,6,0,0,153.73,19
"No System Name","org.roaringbitmap","Container","add",1,1,10,9,76.08,0.01,1,0,0,1,2,2,2.40,0,0,0,0,4,0,0,0,0,31.70,6
"No System Name","org.roaringbitmap","RoaringBitmap","add",4,17,185,49,29274.63,0.35,2,10,0,22,2,1,28.18,1,0,2,9,96,0,31,2,3,1038.72,89
"No System Name","org.roaringbitmap.buffer","MappeableArrayContainer","add",5,21,183,47,29338.00,0.34,4,5,1,28,2,2,28.86,1,0,1,8,90,0,48,3,2,1016.49,93
"No System Name","org.roaringbitmap.buffer","MappeableBitmapContainer","add",1,5,35,21,898.74,0.05,3,2,1,6,2,2,5.85,0,0,0,1,16,0,6,0,0,153.73,19
"No System Name","org.roaringbitmap.buffer","MappeableContainer","add",1,1,10,9,76.08,0.01,1,0,0,1,2,2,2.40,0,0,0,0,4,0,0,0,0,31.70,6
"No System Name","org.roaringbitmap.buffer","MutableRoaringBitmap","add",4,17,191,50,30061.64,0.36,3,8,0,22,2,1,27.89,1,0,2,9,100,0,33,4,3,1077.98,91
"No System Name","org.roaringbitmap","RoaringBitmap","add",4,28,362,53,114985.40,0.69,3,15,0,36,3,2,55.45,1,0,1,13,179,0,75,10,4,2073.51,183
"No System Name","org.roaringbitmap.buffer","MutableRoaringBitmap","add",4,28,383,54,123171.52,0.73,4,13,0,36,3,2,55.88,1,0,1,13,193,0,77,17,4,2204.12,190
"No System Name","org.roaringbitmap","ArrayContainer","add",4,12,96,38,8427.22,0.17,4,3,2,16,1,2,16.73,0,0,2,2,50,0,22,0,2,503.80,46
"No System Name","org.roaringbitmap","BitmapContainer","add",1,6,60,32,4050.00,0.10,2,1,0,7,1,2,13.50,0,0,0,2,33,0,11,0,0,300.00,27
"No System Name","org.roaringbitmap","Container","add",1,1,8,8,48.00,0.01,1,0,0,1,1,2,2.00,0,0,0,0,4,0,0,0,0,24.00,4
"No System Name","org.roaringbitmap.buffer","MappeableArrayContainer","add",9,29,222,50,39164.36,0.42,5,9,2,39,1,2,31.26,1,0,3,6,120,0,49,0,7,1252.94,102
"No System Name","org.roaringbitmap.buffer","MappeableBitmapContainer","add",1,6,67,33,4365.50,0.11,2,3,0,7,1,2,12.92,0,0,0,2,36,0,12,0,0,337.97,31
"No System Name","org.roaringbitmap.buffer","MappeableContainer","add",1,1,8,8,48.00,0.01,1,0,0,1,1,2,2.00,0,0,0,0,4,0,0,0,0,24.00,4
"No System Name","org.roaringbitmap","ContainerPointer","advance",1,1,20,15,307.67,0.03,0,0,0,1,0,0,3.94,0,0,0,0,11,0,0,0,0,78.14,9
"No System Name","org.roaringbitmap","RoaringArray$ContainerPointer","advance",1,2,10,10,99.66,0.01,0,0,0,3,0,2,3.00,0,0,0,0,6,0,1,0,0,33.22,4
"No System Name","org.roaringbitmap.buffer","ImmutableRoaringArray$MappeableContainerPointer","advance",1,2,10,10,99.66,0.01,0,0,0,3,0,2,3.00,0,0,0,0,6,0,1,0,0,33.22,4
"No System Name","org.roaringbitmap.buffer","MappeableContainerPointer","advance",1,1,37,22,693.00,0.05,0,0,0,1,0,0,4.20,0,0,0,0,19,0,0,0,0,165.00,18
"No System Name","org.roaringbitmap.buffer","MutableRoaringArray$MappeableContainerPointer","advance",1,2,10,10,99.66,0.01,0,0,0,3,0,2,3.00,0,0,0,0,6,0,1,0,0,33.22,4
"No System Name","org.roaringbitmap.buffer","BufferUtil","advanceUntil",8,19,184,40,63160.64,0.33,1,1,1,30,4,2,64.50,2,0,2,4,98,0,47,0,5,979.23,86
"No System Name","org.roaringbitmap","RoaringArray","advanceUntil",8,18,194,40,69690.65,0.34,1,1,0,27,2,1,67.50,2,0,1,4,104,0,53,0,4,1032.45,90
"No System Name","org.roaringbitmap.buffer","ImmutableRoaringArray","advanceUntil",8,18,174,38,56005.88,0.30,1,1,1,27,2,1,61.33,2,0,1,4,94,0,41,0,4,913.14,80
"No System Name","org.roaringbitmap.buffer","MutableRoaringArray","advanceUntil",8,18,194,40,69690.65,0.34,1,1,0,27,2,1,67.50,2,0,1,4,104,0,53,0,4,1032.45,90
"No System Name","org.roaringbitmap.buffer","PointableRoaringArray","advanceUntil",1,1,76,32,2394.00,0.13,0,0,0,1,2,0,6.30,0,0,0,0,31,0,0,0,0,380.00,45
"No System Name","org.roaringbitmap","Util","advanceUntil",8,19,173,38,62255.41,0.30,0,0,1,27,4,2,68.57,2,0,2,4,93,0,47,0,5,907.89,80
"No System Name","org.roaringbitmap.aggregation.and.bestcase","RoaringBitmapBenchmark","and",1,2,27,18,465.70,0.04,1,1,0,3,0,4,4.14,0,0,0,0,14,0,2,0,0,112.59,13
"No System Name","org.roaringbitmap.aggregation.and.identical","RoaringBitmapBenchmark","and",1,2,27,18,465.70,0.04,1,1,0,3,0,4,4.14,0,0,0,0,14,0,2,0,0,112.59,13
"No System Name","org.roaringbitmap.aggregation.and.worstcase","RoaringBitmapBenchmark","and",1,2,27,18,465.70,0.04,1,1,0,3,0,4,4.14,0,0,0,0,14,0,2,0,0,112.59,13
"No System Name","org.roaringbitmap.buffer.aggregation.and.bestcase","MutableRoaringBitmapBenchmark","and",1,2,27,18,465.70,0.04,1,1,0,3,0,4,4.14,0,0,0,0,14,0,2,0,0,112.59,13
"No System Name","org.roaringbitmap.buffer.aggregation.and.identical","MutableRoaringBitmapBenchmark","and",1,2,27,18,465.70,0.04,1,1,0,3,0,4,4.14,0,0,0,0,14,0,2,0,0,112.59,13
"No System Name","org.roaringbitmap.buffer.aggregation.and.worstcase","MutableRoaringBitmapBenchmark","and",1,2,27,18,465.70,0.04,1,1,0,3,0,4,4.14,0,0,0,0,14,0,2,0,0,112.59,13
"No System Name","org.roaringbitmap","ArrayContainer","and",1,2,16,13,276.30,0.02,2,1,0,3,1,2,4.67,0,0,0,0,8,0,1,0,0,59.21,8
"No System Name","org.roaringbitmap.buffer","BufferFastAggregation","and",4,11,126,43,18600.00,0.23,4,7,0,20,1,2,27.20,1,0,0,3,69,0,19,0,0,683.71,57
"No System Name","org.roaringbitmap.buffer","MappeableArrayContainer","and",1,2,16,13,276.30,0.02,2,1,0,3,1,2,4.67,0,0,0,0,8,0,1,0,0,59.21,8
"No System Name","org.roaringbitmap","FastAggregation","and",4,11,125,41,18177.41,0.22,3,6,0,17,1,2,27.14,1,0,0,3,68,0,19,0,0,669.69,57
"No System Name","org.roaringbitmap","FastAggregation","and",4,11,133,43,15068.95,0.24,5,10,0,17,1,2,20.88,2,0,0,3,75,0,14,0,0,721.69,58
"No System Name","org.roaringbitmap.buffer","BufferFastAggregation","and",4,11,133,44,14577.94,0.24,6,11,0,18,1,2,20.08,2,0,0,3,75,0,14,0,0,726.10,58
"No System Name","org.roaringbitmap","ArrayContainer","and",1,6,69,26,3547.36,0.11,3,4,0,9,1,2,10.94,0,0,0,3,34,0,14,0,0,324.33,35
"No System Name","org.roaringbitmap","BitmapContainer","and",3,7,68,29,5486.05,0.11,1,2,1,7,1,2,16.61,1,0,0,2,37,0,17,0,0,330.34,31
"No System Name","org.roaringbitmap","Container","and",1,1,8,8,48.00,0.01,2,0,0,1,1,2,2.00,0,0,0,0,4,0,0,0,0,24.00,4
"No System Name","org.roaringbitmap","BitmapContainer","and",4,20,143,40,21170.63,0.25,5,4,0,20,1,2,27.82,2,0,2,5,75,0,39,0,3,761.04,68
"No System Name","org.roaringbitmap","Container","and",1,1,8,8,48.00,0.01,2,0,0,1,1,2,2.00,0,0,0,0,4,0,0,0,0,24.00,4
"No System Name","org.roaringbitmap","Container","and",2,3,26,12,782.96,0.03,3,0,1,5,1,1,8.40,0,0,0,0,14,0,3,2,0,93.21,12
"No System Name","org.roaringbitmap","RoaringBitmap","and",5,18,170,44,19442.17,0.31,3,9,0,23,1,1,20.95,1,0,3,10,89,0,41,0,5,928.10,81
"No System Name","org.roaringbitmap","RoaringBitmap","and",5,19,184,45,28967.69,0.34,3,9,0,25,2,2,28.67,1,0,3,10,98,0,44,0,5,1010.50,86
"No System Name","org.roaringbitmap.buffer","MutableRoaringBitmap","and",5,18,172,45,19128.12,0.31,3,5,1,23,1,1,20.25,1,0,3,10,91,0,43,0,5,944.60,81
"No System Name","org.roaringbitmap.buffer","ImmutableRoaringBitmap","and",5,19,185,47,27426.26,0.34,4,6,0,25,2,2,26.69,1,0,3,10,99,0,47,0,5,1027.60,86
"No System Name","org.roaringbitmap.buffer","MappeableArrayContainer","and",2,7,129,34,12797.51,0.22,3,7,0,17,1,2,19.50,0,0,0,3,66,0,30,0,0,656.28,63
"No System Name","org.roaringbitmap.buffer","MappeableBitmapContainer","and",6,14,140,37,17225.93,0.24,2,6,1,15,1,2,23.62,2,0,1,5,78,0,31,0,1,729.32,62
"No System Name","org.roaringbitmap.buffer","MappeableContainer","and",1,1,8,8,48.00,0.01,2,0,0,1,1,2,2.00,0,0,0,0,4,0,0,0,0,24.00,4
