Package,Class,Name,COMP,NOA,VDEC,VREF,HLTH,HVOC,HVOL,HDIF,HEFF,HBUG,CAST,NOPR,NAND,CREF,XMET,LMET,EXCR,EXCT,MOD,NLOC
com.lambdaworks.jni,NilLibraryLoader,load,1,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,0,0,0,1,1
com.lambdaworks.jni,Platform$Arch,values,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,2,1,0,0,0,2,1
com.lambdaworks.jni,Platform$Arch,valueOf,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,3,1,0,0,0,2,1
com.lambdaworks.jni,Platform$Arch,Platform$Arch,1,3,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,5,5,0,0,0,1,3
com.lambdaworks.jni,Platform$OS,values,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,2,1,0,0,0,2,1
com.lambdaworks.jni,Platform$OS,valueOf,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,3,1,0,0,0,2,1
com.lambdaworks.jni,Platform$OS,Platform$OS,1,3,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,5,5,0,0,0,1,3
com.lambdaworks.jni,Platform,Platform,1,2,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4,1,0,0,0,1,4
com.lambdaworks.jni,Platform,detect,5,0,5,10,43.0,17.0,175.7609021737646,7.0,1230.3263152163522,0.058586967391254866,0,15,28,9,7,1,1,1,2,9
com.lambdaworks.jni,SysLibraryLoader,SysLibraryLoader,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,1,0,0,0,1,1
com.lambdaworks.jni,SysLibraryLoader,load,1,2,5,3,9.0,5.0,20.89735285398626,1.0,20.89735285398626,0.0069657842846620865,0,3,6,4,1,0,0,0,1,6
com.lambdaworks.jni,UnsupportedPlatformException,UnsupportedPlatformException,1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,1,0,2,0,1,2
